|1| Antennae	|
|2| Antlers	|
|3| Baleen	|
|4| Bat wings	|
|5| Beaver tail	|
|6| Blowhole	|
|7| Blubber	|
|8| Boar tusks	|
|9| Bushy tail	|
|10| Butterfly wings	|
|11| Carapace	|
|12| Cat tail	|
|13| Chameleon eyes |
|14| Claws	|
|15| Cobra hood	|
|16| Comb	|
|17| Compound eyes |
|18| Crab shell	|
|19| Crane beak	|
|20| Crest	|
|21| Cricket legs	|
|22| Detachable tail	|
|23| Digging claws	|
|24| Dragonfly wings  |
|25| Duck bill	|
|26| Eagle wings	|
|27| Elephant tusks	|
|28| Exoskeleton	|
|29| Eye stalks	|
|30| Falcon beak	|
|31| Fangs	|
|32| Feathers	|
|33| Fins	|
|34| Fly wings	|
|35| Frog legs	|
|36| Gills	|
|37| Gliding flaps	|
|38| Hooves	|
|39| Horns	|
|40| Horse tail	|
|41| Humming wings |
|42| Humps	|
|43| Large ears	|
|44| Large eyes	|
|45| Large incisors	|
|46| Long body	|
|47| Long ears	|
|48| Long legs	|
|49| Long neck	|
|50| Long snout	|
|51| Long tongue|
|52| Loose skin|
|53| Mandibles|
|54| Mane|
|55| Mantis arms|
|56| Monkey tail|
|57| Mouse ears|
|58| Mucus|
|59| Otter tail|
|60| Oyster shell|
|61| Pelican bill|
|62| Pig snout|
|63| Pig tail|
|64| Pincers|
|65| Plates|
|66| Plumage|
|67| Proboscis|
|68| Pseudopod|
|69| Quills|
|70| Rat tail|
|71| Scales|
|72| Scorpion tail|
|73| Segments|
|74| Shaggy hair|
|75| Short fur|
|76| Siphon|
|77| Snail shell|
|78| Spikes|
|79| Spines|
|80| Spinnerets|
|81| Spotted fur|
|82| Squid beak|
|83| Stinger|
|84| Striped fur|
|85| Stubby tail|
|86| Suction cups|
|87| Talons|
|88| Tendrils|
|89| Tentacles|
|90| Toucan beak|
|91| Trunk|
|92| Turtle shell|
|93| Udder|
|94| Walrus tusks|
|95| Warts|
|96| Wattle|
|97| Webbed feet|
|98| Webbed hands|
|99| Whiskers|
|00| Wool|
